species,fishpix,fishbase,bishop_museum,in_tree
Amphichaetodon howensis,no,yes,yes,yes
Amphichaetodon melbae,no,yes,yes,yes
Chaetodon adiergastos,yes,no,yes,yes
Chaetodon andamanensis,yes,no,yes,no
Chaetodon argentatus,yes,no,yes,yes
Chaetodon assarius,no,yes,no,yes
Chaetodon aureofasciatus,no,yes,yes,yes
Chaetodon auriga,yes,no,yes,yes
Chaetodon auripes,yes,no,yes,yes
Chaetodon austriacus,no,yes,yes,yes
Chaetodon baronessa,yes,no,yes,yes
Chaetodon bennetti,yes,no,yes,yes
Chaetodon blackburnii,no,yes,yes,yes
Chaetodon burgessi,yes,no,no,yes
Chaetodon capistratus,no,yes,no,yes
Chaetodon citrinellus,yes,no,yes,yes
Chaetodon collare,yes,no,yes,yes
Chaetodon daedalma,yes,no,yes,no
Chaetodon declivis,no,yes,yes,yes
Chaetodon decussatus,no,yes,yes,yes
Chaetodon dialeucos,no,yes,yes,yes
Chaetodon dolosus,no,yes,yes,no
Chaetodon ephippium,yes,no,yes,yes
Chaetodon excelsa,no,no,yes,yes
Chaetodon falcula,yes,no,yes,yes
Chaetodon fasciatus,yes,no,yes,yes
Chaetodon flavirostris,yes,no,yes,no
Chaetodon flavocoronatus,no,yes,yes,no
Chaetodon fremblii,yes,no,yes,yes
Chaetodon gardineri,no,yes,yes,yes
Chaetodon guentheri,yes,no,yes,yes
Chaetodon guttatissimus,no,yes,yes,yes
Chaetodon hoefleri,no,yes,no,no
Chaetodon humeralis,no,yes,no,yes
Chaetodon interruptus,no,yes,no,yes
Chaetodon kleinii,yes,no,yes,yes
Chaetodon larvatus,yes,no,yes,yes
Chaetodon leucopleura,no,yes,yes,yes
Chaetodon lineolatus,yes,no,yes,yes
Chaetodon litus,no,yes,yes,yes
Chaetodon lunula,yes,no,yes,yes
Chaetodon lunulatus,yes,no,yes,yes
Chaetodon madagaskariensis,no,yes,yes,yes
Chaetodon marleyi,no,yes,yes,no
Chaetodon melannotus,yes,no,yes,yes
Chaetodon melapterus,no,yes,yes,yes
Chaetodon mertensii,yes,no,yes,yes
Chaetodon mesoleucos,yes,no,yes,yes
Chaetodon meyeri,yes,no,yes,yes
Chaetodon miliaris,no,yes,yes,yes
Chaetodon mitratus,yes,no,yes,yes
Chaetodon modestus,yes,no,yes,no
Chaetodon multicinctus,yes,no,yes,yes
Chaetodon nigropunctatus,no,yes,yes,yes
Chaetodon nippon,yes,no,yes,yes
Chaetodon ocellatus,yes,no,no,yes
Chaetodon ocellicaudus,yes,no,yes,yes
Chaetodon octofasciatus,yes,no,yes,yes
Chaetodon ornatissimus,yes,no,yes,yes
Chaetodon oxycephalus,yes,no,no,yes
Chaetodon paucifasciatus,no,yes,yes,yes
Chaetodon pelewensis,yes,no,yes,yes
Chaetodon pictus,no,yes,no,yes
Chaetodon plebeius,yes,no,yes,yes
Chaetodon punctatofasciatus,yes,no,yes,yes
Chaetodon quadrimaculatus,yes,no,no,yes
Chaetodon rafflesii,yes,no,yes,yes
Chaetodon rainfordi,yes,no,yes,yes
Chaetodon reticulatus,yes,no,yes,yes
Chaetodon robustus,no,yes,no,yes
Chaetodon sanctaehelenae,no,yes,no,yes
Chaetodon sedentarius,no,yes,no,yes
Chaetodon selene,yes,no,yes,yes
Chaetodon semeion,yes,no,yes,yes
Chaetodon semilarvatus,yes,no,yes,yes
Chaetodon smithi,no,yes,yes,no
Chaetodon speculum,yes,no,yes,yes
Chaetodon striatus,no,yes,no,yes
Chaetodon tinkeri,yes,no,yes,yes
Chaetodon triangulum,no,yes,no,yes
Chaetodon trichrous,no,yes,yes,yes
Chaetodon tricinctus,yes,no,yes,yes
Chaetodon trifascialis,yes,no,yes,yes
Chaetodon trifasciatus,yes,no,yes,yes
Chaetodon ulietensis,yes,no,yes,yes
Chaetodon unimaculatus,yes,no,yes,yes
Chaetodon vagabundus,yes,no,yes,yes
Chaetodon wiebeli,yes,no,yes,no
Chaetodon xanthocephalus,yes,no,yes,yes
Chaetodon xanthurus,yes,no,yes,yes
Chaetodon zanzibarensis,no,yes,no,yes
Chaetodon zanzibariensis,no,no,yes,yes
Chelmon marginalis,no,yes,yes,no
Chelmon muelleri,no,yes,yes,yes
Chelmon rostratus,yes,no,yes,yes
Chelmonops curiosus,no,yes,no,yes
Chelmonops truncatus,no,yes,yes,no
Coradion altivelis,yes,no,yes,yes
Coradion chrysozonus,yes,no,yes,yes
Coradion melanopus,yes,no,yes,yes
Forcipiger flavissimus,yes,no,yes,yes
Forcipiger longirostris,no,yes,yes,yes
Forcipiger wanai,no,yes,no,yes
Hemitaurichthys multispinosus,no,yes,yes,no
Hemitaurichthys polylepis,yes,no,yes,yes
Hemitaurichthys thompsoni,yes,no,no,yes
Hemitaurichthys zoster,yes,no,yes,yes
Heniochus acuminatus,yes,no,yes,yes
Heniochus chrysostomus,yes,no,yes,yes
Heniochus diphreutes,yes,no,yes,yes
Heniochus intermedius,yes,no,yes,yes
Heniochus monoceros,yes,no,yes,yes
Heniochus pleurotaenia,no,yes,yes,yes
Heniochus singularius,no,yes,yes,yes
Heniochus varius,yes,no,yes,yes
Johnrandallia nigrirostris,no,yes,no,yes
Parachaetodon ocellatus,no,yes,yes,yes
Prognathodes aculeatus,no,yes,no,yes
Prognathodes aya,no,yes,no,yes
Prognathodes brasiliensis,no,yes,no,yes
Prognathodes carlhubbsi,no,yes,no,no
Prognathodes dichrous,yes,no,no,yes
Prognathodes falcifer,no,yes,no,no
Prognathodes guyanensis,yes,no,no,no
Prognathodes marcellae,no,yes,no,no
Prognathodes obliquus,no,yes,no,yes
Roa australis,no,yes,no,no
Roa excelsa,no,yes,no,yes
Roa jayakari,no,yes,no,yes
Roa modesta,no,yes,no,yes
